"nome","resumo","coordenador"
"DESCOMPLICAR O COMPLEXO: INTEGRANDO TEMPO ESPAÇO E FORMA NO ESTUDO DOS VERTEBRADOS","Em breve este conteúdo estará disponível.","Alexandre Pedro Selvatti Ferreira Nunes "
"INTRODUÇÃO À BIOINFORMÁTICA E CAPACITAÇÃO EM PROCESSAMENTO E ANÁLISE DE DADOS BIOLÓGICOS","Em breve este conteúdo estará disponível.","Alexandre Pedro Selvatti Ferreira Nunes "
"USO DE METODOLOGIAS ATIVAS EM ZOOLOGIA E EVOLUÇÃO PARA O ENSINO SUPERIOR","Em breve este conteúdo estará disponível.","Amanda Cruz Mendes "
"INOVAÇÃO DIDÁTICA EM ZOOLOGIA E EVOLUÇÃO PARA O ENSINO FUNDAMENTAL E MÉDIO","Em breve este conteúdo estará disponível.","Amanda Cruz Mendes "
"APOIO À CURADORIA DA COLEÇÃO DE CRUSTACEA DA UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO (UERJ)","Em breve este conteúdo estará disponível.","Andre Resende De Senna "
"ARTICULAÇÃO ACADÊMICA PROFISSIONAL NO ENSINO DA ZOOLOGIA DE INVERTEBRADOS","Em breve este conteúdo estará disponível.","Eduardo Leal Esteves "
"ESTRUTURAÇÃO DA COLEÇÃO DE MAMÍFEROS DO DEPARTAMENTO DE ZOOLOGIA DA UERJ","Em breve este conteúdo estará disponível.","Lena Geise "
"ANÁLISES MORFOFUNCIONAIS EM TETRAPODA MORPHOFUNCTIONAL ANALYZES IN TETRAPODA","Em breve este conteúdo estará disponível.","Oscar Rocha Barbosa "
"O USO DA REDE SOCIAL INSTAGRAM NA DIFUSÃO DE CONHECIMENTO SOBRE A PALEONTOLOGIA DE VERTEBRADOS","Em breve este conteúdo estará disponível.","Valéria Gallo "
